wavelength,intensity,element
6567.062,0.8518,Hydrogen
5877.304,0.9839,Helium
5872.316,0.9879,Helium
6565.106,0.7751,Hydrogen
5890.116,0.3644,Sodium
6564.24,0.6915,Hydrogen
5871.108,0.9876,Helium
5876.428,0.9776,Helium
5880.734,0.9799,Helium
5876.312,0.9593,Helium
6559.342,0.8384,Hydrogen
5871.014,0.9891,Helium
5872.77,0.9824,Helium
5874.588,0.9862,Helium
6559.538,0.7413,Hydrogen
5876.942,0.991,Helium
6177.316,0.9569,Iron
6561.898,0.636,Hydrogen
5877.552,0.9857,Helium
5875.876,0.9878,Helium
5876.28,0.9419,Helium
6169.216,0.9406,Iron
5874.784,0.9876,Helium
5877.304,0.9839,Helium
6559.224,0.8422,Hydrogen
5875.514,0.9833,Helium
6566.132,0.8215,Hydrogen
5876.726,0.9873,Helium
5878.924,0.9853,Helium
5871.91,0.9885,Helium
5871.766,0.9845,Helium
5877.144,0.9889,Helium
5874.826,0.9888,Helium
5873.308,0.9733,Helium
5876.392,0.9817,Helium
5880.902,0.9827,Helium
5873.632,0.985,Helium
5875.868,0.9877,Helium
5878.38,0.9903,Helium
6565.952,0.8139,Hydrogen
5873.432,0.9865,Helium
5875.736,0.9818,Helium
6565.222,0.7817,Hydrogen
5874.618,0.9849,Helium
6565.182,0.7793,Hydrogen
5877.992,0.979,Helium
5875.01,0.9868,Helium
6559.772,0.81,Hydrogen
6567.102,0.8526,Hydrogen
5874.502,0.9879,Helium
5173.648,0.7733,Magnesium
5878.03,0.9746,Helium
5872.844,0.9815,Helium
5873.738,0.9413,Helium
6563.498,0.5476,Hydrogen
5874.612,0.985,Helium
5873.546,0.9841,Helium
6565.78,0.8083,Hydrogen
6559.738,0.815,Hydrogen
6567.292,0.8577,Hydrogen
6564.504,0.7327,Hydrogen
5873.504,0.9868,Helium
6567.084,0.8522,Hydrogen
6559.812,0.8117,Hydrogen
6565.304,0.786,Hydrogen
5873.188,0.856,Helium
6559.2,0.8425,Hydrogen
6565.128,0.7762,Hydrogen
6565.608,0.7948,Hydrogen
5877.588,0.9851,Helium
5877.574,0.9857,Helium
5876.934,0.991,Helium
5880.896,0.9836,Helium
6558.254,0.8641,Hydrogen
6562.396,0.2962,Hydrogen
5878.328,0.9886,Helium
6566.986,0.8484,Hydrogen
6567.11,0.8529,Hydrogen
6558.748,0.8572,Hydrogen
6565.572,0.7857,Hydrogen
5875.97,0.987,Helium
5875.128,0.9735,Helium
6175.164,0.9605,Iron
5873.754,0.9348,Helium
5172.654,0.0886,Magnesium
6565.812,0.8087,Hydrogen
5879.34,0.9861,Helium
6562.77,0.1613,Hydrogen
6563.284,0.3609,Hydrogen
5875.63,0.9789,Helium
6559.958,0.8122,Hydrogen
6567.924,0.8718,Hydrogen
5877.518,0.986,Helium
5168.482,0.879,Magnesium
5878.766,0.9902,Helium
5876.594,0.9789,Helium
5873.624,0.9855,Helium
6560.09,0.8047,Hydrogen
6560.774,0.7607,Hydrogen
5172.908,0.3267,Magnesium
5880.086,0.9548,Helium
6562.44,0.2601,Hydrogen
5173.622,0.7803,Magnesium
6562.586,0.1906,Hydrogen
6558.614,0.8571,Hydrogen
6559.058,0.8472,Hydrogen
6560.482,0.7492,Hydrogen
5878.596,0.9857,Helium
6567.934,0.8721,Hydrogen
6564.392,0.7221,Hydrogen
6565.922,0.8102,Hydrogen
6564.41,0.7239,Hydrogen
5873.538,0.9848,Helium
5879.914,0.9825,Helium
6560.73,0.7582,Hydrogen
6559.406,0.8355,Hydrogen
6563.596,0.5974,Hydrogen
5880.794,0.9897,Helium
6561.062,0.7399,Hydrogen
5872.052,0.9881,Helium
5877.736,0.9449,Helium
6562.816,0.1604,Hydrogen
6560.53,0.6978,Hydrogen
5876.216,0.9735,Helium
6561.562,0.6918,Hydrogen
5874.188,0.9894,Helium
6566.62,0.8368,Hydrogen
5875.078,0.9779,Helium
6566.252,0.8267,Hydrogen
3968.782,0.0827,Calcium
5878.526,0.9872,Helium
5878.198,0.9865,Helium
6565.6,0.7929,Hydrogen
5878.992,0.9835,Helium
6563.664,0.6194,Hydrogen
3969.224,0.0782,Calcium
5874.38,0.9876,Helium
6565.75,0.8073,Hydrogen
5886.538,0.9781,Sodium
6558.532,0.8573,Hydrogen
6558.26,0.8647,Hydrogen
6174.484,0.9902,Iron
6560.788,0.7609,Hydrogen
3967.0,0.1887,Calcium
5879.026,0.9818,Helium
5874.148,0.9895,Helium
6168.758,0.9708,Iron
6562.02,0.6038,Hydrogen
5878.154,0.9843,Helium
5880.47,0.9875,Helium
6559.886,0.8153,Hydrogen
6567.756,0.868,Hydrogen
6564.55,0.7369,Hydrogen
5876.226,0.9684,Helium
5872.878,0.9801,Helium
6566.362,0.8299,Hydrogen
5177.196,0.8188,Magnesium
5878.438,0.9898,Helium
5874.708,0.9879,Helium
6563.014,0.182,Hydrogen
5873.276,0.9453,Helium
6566.0,0.8161,Hydrogen
6564.236,0.6886,Hydrogen
6558.796,0.854,Hydrogen
5879.252,0.9853,Helium
6566.958,0.8469,Hydrogen
6564.88,0.7599,Hydrogen
6563.056,0.1945,Hydrogen
5886.72,0.976,Sodium
6561.38,0.7124,Hydrogen
6565.73,0.8062,Hydrogen
5874.052,0.9867,Helium
6558.286,0.8664,Hydrogen
6564.288,0.7091,Hydrogen
6562.842,0.1605,Hydrogen
6566.114,0.8201,Hydrogen
5875.584,0.9782,Helium
6559.398,0.8359,Hydrogen
6566.78,0.8427,Hydrogen
6563.28,0.3565,Hydrogen
6560.78,0.7608,Hydrogen
5880.448,0.9883,Helium
6564.406,0.7234,Hydrogen
6562.486,0.2313,Hydrogen
6564.456,0.729,Hydrogen
5879.82,0.9812,Helium
5872.228,0.9866,Helium
6169.918,0.9554,Iron
5880.7,0.9781,Helium
5877.626,0.978,Helium
6563.912,0.667,Hydrogen
6563.408,0.478,Hydrogen
6560.55,0.6759,Hydrogen
6561.058,0.7407,Hydrogen
6566.97,0.8474,Hydrogen
5880.916,0.9812,Helium
6562.038,0.5982,Hydrogen
5875.088,0.9765,Helium
6561.258,0.7246,Hydrogen
5880.528,0.9888,Helium
5880.426,0.9884,Helium
6566.03,0.8174,Hydrogen
6563.424,0.4922,Hydrogen
5875.076,0.9783,Helium
5873.808,0.9536,Helium
5878.266,0.9881,Helium
5879.45,0.9362,Helium
6564.78,0.7521,Hydrogen
5872.538,0.988,Helium
5879.874,0.9847,Helium
6565.976,0.8151,Hydrogen
5887.368,0.9711,Sodium
6558.384,0.8653,Hydrogen
5875.374,0.9862,Helium
5875.83,0.9857,Helium
5872.87,0.9807,Helium
6567.612,0.8653,Hydrogen
6559.338,0.8385,Hydrogen
6560.482,0.7492,Hydrogen
5880.708,0.9777,Helium
6559.652,0.8012,Hydrogen
5879.564,0.9571,Helium
5877.162,0.9892,Helium
6564.708,0.749,Hydrogen
5885.948,0.9545,Sodium
6559.298,0.8398,Hydrogen
6561.036,0.7437,Hydrogen
5871.528,0.9876,Helium
6561.238,0.7269,Hydrogen
6174.708,0.9883,Iron
6563.83,0.6553,Hydrogen
5876.476,0.9811,Helium
5872.982,0.9761,Helium
6566.248,0.8266,Hydrogen
5872.29,0.9877,Helium
5875.376,0.9861,Helium
5877.22,0.9882,Helium
6563.092,0.2083,Hydrogen
5875.95,0.9868,Helium
5872.908,0.9775,Helium
6566.614,0.8366,Hydrogen
5872.426,0.9868,Helium
5872.776,0.9819,Helium
6562.256,0.4476,Hydrogen
5873.73,0.9459,Helium
5874.048,0.9865,Helium
6558.612,0.8572,Hydrogen
5875.866,0.9877,Helium
5877.382,0.982,Helium
5880.79,0.9894,Helium
6563.558,0.5803,Hydrogen
6563.796,0.6495,Hydrogen
6558.932,0.85,Hydrogen
5879.292,0.9855,Helium
5874.146,0.9895,Helium
6564.5,0.7323,Hydrogen
6561.35,0.7157,Hydrogen
6561.746,0.6649,Hydrogen
5876.342,0.974,Helium
5876.584,0.9761,Helium
6565.518,0.775,Hydrogen
6565.964,0.8146,Hydrogen
5873.606,0.9857,Helium
6559.082,0.8464,Hydrogen
5875.148,0.9739,Helium
5880.958,0.9834,Helium
6558.92,0.8497,Hydrogen
6563.214,0.2887,Hydrogen
5877.602,0.9835,Helium
5876.32,0.9639,Helium
5875.698,0.9808,Helium
5877.336,0.9839,Helium
6567.104,0.8527,Hydrogen
6558.598,0.8578,Hydrogen
6559.214,0.8424,Hydrogen
5878.132,0.9832,Helium
6562.804,0.1606,Hydrogen
5872.16,0.9885,Helium
6563.7,0.6284,Hydrogen
6567.878,0.8719,Hydrogen
5871.69,0.9892,Helium
6561.75,0.6642,Hydrogen
5872.354,0.9891,Helium
6169.074,0.4313,Iron
6177.028,0.978,Iron
5873.774,0.9354,Helium
5871.142,0.9861,Helium
6559.922,0.8142,Hydrogen
6559.938,0.8133,Hydrogen
5871.326,0.9603,Helium
5875.088,0.9765,Helium
3972.594,0.3179,Calcium
6560.116,0.8025,Hydrogen
5871.696,0.9891,Helium
6563.848,0.6579,Hydrogen
5872.456,0.9867,Helium
6566.104,0.8195,Hydrogen
5880.398,0.9874,Helium
6561.24,0.7267,Hydrogen
6558.54,0.8573,Hydrogen
6561.27,0.7233,Hydrogen
6565.008,0.7684,Hydrogen
6560.762,0.7604,Hydrogen
5871.544,0.9876,Helium
5879.4,0.9782,Helium
5875.704,0.9811,Helium
5875.786,0.9837,Helium
6560.648,0.7368,Hydrogen
5875.516,0.9833,Helium
5873.78,0.9376,Helium
5879.83,0.9819,Helium
6172.908,0.989,Iron
6558.724,0.8574,Hydrogen
6564.796,0.753,Hydrogen
5872.866,0.9809,Helium
5874.968,0.9889,Helium
6561.362,0.7144,Hydrogen
6565.622,0.7975,Hydrogen
5175.486,0.9573,Magnesium
6564.348,0.7184,Hydrogen
6566.29,0.828,Hydrogen
6567.834,0.8694,Hydrogen
5873.61,0.9858,Helium
5872.752,0.9841,Helium
6562.21,0.4927,Hydrogen
5877.588,0.9851,Helium
5875.46,0.9803,Helium
6558.372,0.8655,Hydrogen
5874.41,0.9883,Helium
5878.802,0.9901,Helium
5876.198,0.9792,Helium
5878.55,0.9864,Helium
5875.006,0.9871,Helium
5877.744,0.9314,Helium
6560.922,0.7533,Hydrogen
5877.966,0.9839,Helium
6563.134,0.2288,Hydrogen
5878.452,0.9894,Helium
6173.9,0.9897,Iron
6561.192,0.7307,Hydrogen
5878.848,0.9896,Helium
5877.234,0.9873,Helium
6560.166,0.7963,Hydrogen
5880.47,0.9875,Helium
6561.798,0.6564,Hydrogen
6565.254,0.7835,Hydrogen
5877.454,0.9824,Helium
6559.714,0.8178,Hydrogen
5880.732,0.9795,Helium
6564.208,0.6669,Hydrogen
6563.634,0.6107,Hydrogen
6566.028,0.8174,Hydrogen
6561.71,0.6705,Hydrogen
6565.808,0.8087,Hydrogen
6566.158,0.8232,Hydrogen
5880.86,0.9883,Helium
6567.406,0.857,Hydrogen
6564.484,0.7311,Hydrogen
6567.58,0.8649,Hydrogen
6559.77,0.8101,Hydrogen
6558.084,0.8627,Hydrogen
5880.458,0.9879,Helium
5877.148,0.989,Helium
6565.168,0.7786,Hydrogen
6564.942,0.7643,Hydrogen
5871.658,0.9892,Helium
6564.132,0.6887,Hydrogen
5880.318,0.9666,Helium
5872.592,0.9906,Helium
5876.916,0.991,Helium
5876.438,0.9779,Helium
5873.862,0.977,Helium
6563.13,0.2266,Hydrogen
6566.698,0.8395,Hydrogen
5876.568,0.9727,Helium
6564.588,0.7397,Hydrogen
6564.478,0.7307,Hydrogen
5876.944,0.991,Helium
6564.976,0.7663,Hydrogen
5879.662,0.9786,Helium
5877.458,0.9829,Helium
5871.75,0.986,Helium
6566.74,0.8411,Hydrogen
5874.446,0.9884,Helium
6562.352,0.3404,Hydrogen
6564.138,0.6888,Hydrogen
6563.662,0.6189,Hydrogen
5173.998,0.8486,Magnesium
6564.34,0.7175,Hydrogen
6565.208,0.7807,Hydrogen
6564.748,0.7515,Hydrogen
6169.126,0.8006,Iron
6565.392,0.7837,Hydrogen
5877.506,0.9866,Helium
6562.162,0.5323,Hydrogen
5877.51,0.9865,Helium
5873.716,0.9551,Helium
5875.69,0.9805,Helium
6566.088,0.8188,Hydrogen
5880.918,0.981,Helium
5871.862,0.9867,Helium
5880.002,0.8963,Helium
5878.472,0.9892,Helium
6558.382,0.8653,Hydrogen
6559.98,0.8114,Hydrogen
5876.47,0.9809,Helium
6170.582,0.7104,Iron
5871.294,0.9518,Helium
5874.374,0.9875,Helium
6558.124,0.8581,Hydrogen
6561.878,0.6405,Hydrogen
5873.33,0.9813,Helium
6562.08,0.5799,Hydrogen
6567.752,0.8679,Hydrogen
5872.878,0.9801,Helium
6560.688,0.753,Hydrogen
6565.272,0.7845,Hydrogen
6171.86,0.9841,Iron
6565.114,0.7755,Hydrogen
5172.076,0.6151,Magnesium
5873.162,0.9173,Helium
5874.608,0.9851,Helium
6564.208,0.6669,Hydrogen
5873.962,0.9819,Helium
6567.94,0.8723,Hydrogen
5876.612,0.9833,Helium
6563.884,0.6638,Hydrogen
6564.62,0.7421,Hydrogen
5880.514,0.9886,Helium
6175.582,0.9816,Iron
6561.27,0.7233,Hydrogen
5879.416,0.9713,Helium
6565.174,0.7788,Hydrogen
6559.312,0.8393,Hydrogen
6175.538,0.9762,Iron
6174.788,0.9877,Iron
5170.534,0.9091,Magnesium
5874.432,0.9884,Helium
6563.182,0.2612,Hydrogen
6558.194,0.8555,Hydrogen
5876.97,0.9907,Helium
5871.098,0.9882,Helium
5873.956,0.9819,Helium
5878.164,0.9849,Helium
6562.482,0.2333,Hydrogen
5871.144,0.9859,Helium
5872.032,0.987,Helium
5173.838,0.8104,Magnesium
5872.302,0.9878,Helium
6567.448,0.8585,Hydrogen
5877.686,0.9678,Helium
6561.828,0.6508,Hydrogen
5874.28,0.9898,Helium
5872.15,0.9887,Helium
6563.298,0.3765,Hydrogen
5873.898,0.9808,Helium
5872.772,0.9822,Helium
6564.56,0.7379,Hydrogen
5878.072,0.9784,Helium
5879.29,0.9855,Helium
5873.196,0.8379,Helium
6558.792,0.8544,Hydrogen
5872.414,0.9874,Helium
6562.936,0.1676,Hydrogen
6566.438,0.8314,Hydrogen
5873.622,0.9856,Helium
6564.122,0.688,Hydrogen
5874.006,0.9829,Helium
6173.58,0.9795,Iron
5874.0,0.9826,Helium
6564.468,0.7299,Hydrogen
6559.856,0.8155,Hydrogen
5879.998,0.9031,Helium
6567.618,0.8655,Hydrogen
5876.194,0.9799,Helium
6560.926,0.753,Hydrogen
5880.232,0.9546,Helium
5876.804,0.9897,Helium
6561.034,0.7439,Hydrogen
5889.866,0.1748,Sodium
6174.888,0.9887,Iron
5874.558,0.9871,Helium
5873.566,0.9832,Helium
5878.204,0.9868,Helium
6562.87,0.1615,Hydrogen
6558.978,0.8499,Hydrogen
6558.538,0.8573,Hydrogen
5878.798,0.9902,Helium
5875.818,0.9849,Helium
6566.018,0.8169,Hydrogen
5871.322,0.9583,Helium
6563.634,0.6107,Hydrogen
6566.228,0.8261,Hydrogen
6566.682,0.8389,Hydrogen
6174.208,0.9905,Iron
6559.702,0.8183,Hydrogen
6561.374,0.7131,Hydrogen
6559.616,0.7534,Hydrogen
5873.788,0.9416,Helium
6566.394,0.8301,Hydrogen
5872.038,0.9873,Helium
5877.734,0.9475,Helium
6564.356,0.7193,Hydrogen
5876.534,0.9721,Helium
6558.984,0.8497,Hydrogen
6559.82,0.8125,Hydrogen
6565.906,0.809,Hydrogen
6567.682,0.8659,Hydrogen
6559.942,0.8131,Hydrogen
6565.022,0.7692,Hydrogen
6560.948,0.7513,Hydrogen
5890.112,0.3564,Sodium
6562.856,0.1609,Hydrogen
6567.59,0.865,Hydrogen
6563.962,0.6715,Hydrogen
5877.08,0.9884,Helium
6177.442,0.9816,Iron
6562.672,0.1717,Hydrogen
6566.23,0.8262,Hydrogen
6558.322,0.8654,Hydrogen
5880.786,0.9892,Helium
6565.192,0.7798,Hydrogen
6567.852,0.8708,Hydrogen
6566.552,0.8337,Hydrogen
6567.974,0.8734,Hydrogen
6566.24,0.8265,Hydrogen
5875.98,0.9871,Helium
5873.782,0.9385,Helium
5873.946,0.9818,Helium
6561.032,0.7441,Hydrogen
5871.516,0.9876,Helium
6565.032,0.7697,Hydrogen
5874.936,0.9892,Helium
6561.466,0.7032,Hydrogen
5872.75,0.9842,Helium
6560.534,0.6938,Hydrogen
5874.774,0.9871,Helium
5876.756,0.9881,Helium
6566.716,0.8401,Hydrogen
5876.622,0.985,Helium
5878.052,0.9762,Helium
6560.666,0.7466,Hydrogen
6565.314,0.7859,Hydrogen
5875.156,0.9743,Helium
6559.038,0.8487,Hydrogen
6566.502,0.8339,Hydrogen
6558.012,0.8693,Hydrogen
5877.682,0.968,Helium
5872.268,0.987,Helium
6567.59,0.865,Hydrogen
6559.772,0.81,Hydrogen
6560.504,0.724,Hydrogen
5872.046,0.9878,Helium
5880.708,0.9777,Helium
5885.26,0.9814,Sodium
6559.552,0.7123,Hydrogen
6558.556,0.8575,Hydrogen
6560.3,0.7863,Hydrogen
6565.708,0.8053,Hydrogen
5879.422,0.9676,Helium
5877.888,0.9721,Helium
5879.344,0.9861,Helium
5872.966,0.976,Helium
6174.304,0.9889,Iron
5875.12,0.9735,Helium
6560.412,0.7809,Hydrogen
6564.948,0.7647,Hydrogen
6558.47,0.8605,Hydrogen
6559.332,0.8387,Hydrogen
6562.51,0.2194,Hydrogen
5876.072,0.9784,Helium
6564.056,0.6747,Hydrogen
6563.664,0.6194,Hydrogen
5877.636,0.9751,Helium
6564.384,0.7217,Hydrogen
5879.892,0.9845,Helium
5872.316,0.9879,Helium
5872.968,0.976,Helium
5871.492,0.9881,Helium
5872.642,0.9888,Helium
6177.318,0.959,Iron
5877.36,0.9834,Helium
5878.272,0.988,Helium
5878.846,0.9896,Helium
6558.308,0.8659,Hydrogen
5871.402,0.9856,Helium
6560.016,0.8095,Hydrogen
6567.0,0.8495,Hydrogen
5874.484,0.9882,Helium
3967.798,0.1222,Calcium
5876.682,0.9865,Helium
3966.726,0.2075,Calcium
5872.542,0.9883,Helium
6168.26,0.9833,Iron
6562.704,0.1669,Hydrogen
6176.028,0.9879,Iron
6565.814,0.8088,Hydrogen
6559.18,0.8432,Hydrogen
5877.748,0.9236,Helium
6564.896,0.7613,Hydrogen
5872.418,0.9872,Helium
6560.696,0.7543,Hydrogen
6560.956,0.7506,Hydrogen
6561.858,0.6444,Hydrogen
6558.406,0.8648,Hydrogen
5874.0,0.9826,Helium
5871.654,0.9891,Helium
6566.638,0.8371,Hydrogen
5891.01,0.9074,Sodium
5877.138,0.9889,Helium
5871.68,0.9893,Helium
6563.86,0.66,Hydrogen
6565.214,0.7811,Hydrogen
6563.202,0.2777,Hydrogen
5875.618,0.9791,Helium
5879.956,0.9656,Helium
5872.81,0.981,Helium
5871.948,0.9874,Helium
6565.26,0.7838,Hydrogen
5879.464,0.9132,Helium
6566.91,0.8455,Hydrogen
5172.474,0.3245,Magnesium
5874.008,0.983,Helium
6561.202,0.73,Hydrogen
5874.21,0.9899,Helium
5879.826,0.9816,Helium
6565.644,0.8009,Hydrogen
5879.098,0.9846,Helium
5872.616,0.9898,Helium
5879.406,0.9759,Helium
6562.888,0.1626,Hydrogen
5874.25,0.9902,Helium
5875.082,0.9774,Helium
5874.5,0.988,Helium
5173.116,0.4906,Magnesium
5871.532,0.9876,Helium
6558.426,0.8636,Hydrogen
6558.292,0.8664,Hydrogen
5871.41,0.9863,Helium
5874.79,0.9879,Helium
5876.782,0.9892,Helium
5879.556,0.9541,Helium
6566.624,0.8369,Hydrogen
6562.246,0.4578,Hydrogen
5877.988,0.9799,Helium
6565.394,0.7837,Hydrogen
3968.122,0.0883,Calcium
6558.718,0.8573,Hydrogen
5877.574,0.9857,Helium
6564.112,0.6867,Hydrogen
6562.12,0.5598,Hydrogen
6566.566,0.8338,Hydrogen
6561.656,0.679,Hydrogen
5874.872,0.9897,Helium
6561.938,0.6275,Hydrogen
5875.182,0.9764,Helium
5872.314,0.9878,Helium
5877.464,0.9836,Helium
5871.62,0.988,Helium
6564.084,0.6808,Hydrogen
5871.916,0.9884,Helium
6567.716,0.8666,Hydrogen
5877.562,0.9857,Helium
5871.81,0.9858,Helium
6561.936,0.628,Hydrogen
5874.12,0.9893,Helium
6563.566,0.5843,Hydrogen
6565.846,0.8093,Hydrogen
5875.086,0.9767,Helium
5880.18,0.9858,Helium
6559.52,0.7816,Hydrogen
6564.85,0.7578,Hydrogen
5874.416,0.9883,Helium
5879.722,0.9782,Helium
5873.76,0.9339,Helium
6562.098,0.5711,Hydrogen
6558.268,0.8654,Hydrogen
5872.944,0.9764,Helium
6566.446,0.8317,Hydrogen
6566.454,0.8319,Hydrogen
5876.212,0.9751,Helium
6559.426,0.8343,Hydrogen
5871.79,0.9842,Helium
5875.664,0.9793,Helium
5872.63,0.9894,Helium
3964.948,0.3969,Calcium
5877.872,0.9607,Helium
6561.726,0.6678,Hydrogen
6564.186,0.679,Hydrogen
6560.546,0.6803,Hydrogen
5874.134,0.9894,Helium
5873.064,0.9611,Helium
6562.386,0.3053,Hydrogen
5879.158,0.986,Helium
6565.06,0.7719,Hydrogen
6177.096,0.9848,Iron
6563.002,0.1791,Hydrogen
6565.538,0.7775,Hydrogen
5871.682,0.9892,Helium
5877.506,0.9866,Helium
6561.71,0.6705,Hydrogen
6564.158,0.6876,Hydrogen
5872.452,0.9865,Helium
5875.034,0.9844,Helium
6561.648,0.68,Hydrogen
6564.358,0.7195,Hydrogen
6567.782,0.868,Hydrogen
6177.196,0.9453,Iron
5875.768,0.9832,Helium
6566.262,0.827,Hydrogen
5880.89,0.9845,Helium
6563.422,0.4905,Hydrogen
5873.94,0.9817,Helium
6560.598,0.6793,Hydrogen
5880.178,0.9861,Helium
5871.888,0.9878,Helium
5874.056,0.987,Helium
6564.194,0.6736,Hydrogen
5876.082,0.9761,Helium
6560.278,0.7851,Hydrogen
6561.244,0.7263,Hydrogen
5875.37,0.9864,Helium
5875.32,0.9879,Helium
5872.996,0.9761,Helium
5876.634,0.986,Helium
6564.854,0.7581,Hydrogen
6563.594,0.5965,Hydrogen
5170.99,0.881,Magnesium
6563.13,0.2266,Hydrogen
6562.886,0.1624,Hydrogen
6561.146,0.7311,Hydrogen
6565.458,0.7817,Hydrogen
5873.124,0.9465,Helium
5879.462,0.9164,Helium
6172.4,0.9868,Iron
5879.396,0.9795,Helium
5886.55,0.9778,Sodium
6558.748,0.8572,Hydrogen
6566.99,0.8488,Hydrogen
6561.416,0.7091,Hydrogen
